marker,chr,pos
RGA3(1),1,0
wPt-6358,1,3.034
Hplc2,1,8.8291
wPt-9752,1,10.1452
abc156a,1,41.3408
RGA36b(2),1,43.8429
bcd98,1,51.9122
wmc24,1,54.5814
ksuG9c,1,55.3333
wPt-2436,1,59.1871
wPt-4886,1,61.7209
wmc120,1,62.4012
cdo105,1,63.0679
wPt-6074,1,69.7745
GluA1,1,81.5246
bcd808b,1,105.2329
wis-2,1,114.6968
wPt-5316,1,122.1591
ksuH9b,1,122.7961
RGA24(1),1,134.6407
wPt-5274,1,137.3099
wPt-6005,1,138.515
RGA3(5),2,0
ksuD14b,2,2.8399
Glu-B3,2,5.1672
wPt-3465,2,9.4634
gwm666,2,16.7612
barc8,2,46.8023
*stm288agac,2,51.9933
gwm18,2,61.4374
psr949,2,67.7202
*stm551tcac,2,68.955
gwm131,2,76.325
Pc-B4e,2,86.1726
Oscar1,2,88.1737
Glu-B1,2,88.8107
wPt-2315,2,92.3047
wPt-0202,2,93.5098
bcd265a,2,99.4905
wis-1,2,101.5607
wPt-9032,2,104.0318
wPt-1403,2,105.2225
barc188,2,108.7578
RGA3(4),3,0
ksuD14a,3,4.4562
bcd1434,3,7.2761
gli,3,9.6308
Glu-D3,3,10.9383
gli-gD1,3,12.9802
wmc432,3,36.6145
wmc336,3,42.8104
*stm588tgag,3,45.6707
wPt-3790,3,52.6603
wPt-3707,3,53.9593
scuM02,3,57.8131
ksuG9b,3,66.8131
wPt-5503,3,71.8299
cdo1173,3,73.54
wmc429,3,77.9962
wPt-0077,3,86.6531
wPt-3743,3,91.7338
Glu-D1,3,92.4914
P36|M47-5,3,115.3987
wPt-1263,3,141.6137
wPt-1531,3,142.9298
wPt-6560,3,144.3191
gwm359,4,0
wPt-7626,4,6.0906
RGA25(2),4,27.273
gwm425,4,32.0494
gwm95,4,32.807
*stm503tctg,4,34.0893
wPt-4201,4,35.7849
wPt-8243,4,42.8743
wPt-0921,4,44.1404
wmc198,4,57.2535
psr540,4,68.63
wmc314,5,0
RGA9(1),5,8.5943
ksuD18,5,10.7232
wPt-5188,5,13.5039
wPt-8004,5,26.4434
wmc154,5,27.8724
*stm544tgag2,5,29.206
wPt-5374,5,36.0044
wPt-3983,5,41.9141
wPt-0615,5,59.4867
mwg950,5,63.2915
psr596,5,65.7626
ksuF37,5,76.5957
wg996,5,87.8953
gwm388,5,96.1168
*stm604tgag,5,98.786
*stm514tgag,5,101.6058
Yr7|Sr9g,5,104.7847
*stm633tcac,5,106.0671
wPt-8460,5,108.7724
wmc360,5,111.3721
cdo669a,5,113.7549
wPt-5128,5,120.0378
wPt-7004,5,122.5398
bcd292,5,129.3382
RGA20(3),5,135.1332
wPt-3632,5,138.7107
psr370b,5,146.1987
bcd410d,5,147.5235
bcd175,6,0
wmc111,6,1.471
wmc112,6,11.1803
gwm261,6,12.5505
*stm544tgag1,6,13.7001
wPt-3728,6,99.2251
wPt-4413,6,108.542
wmc190,6,118.343
cdo366,6,119.1765
wmc18,6,124.6031
*stm551tgag,6,125.7798
*stm590tcac,6,131.9078
LMAmc,6,167.9381
abc165a,6,169.2717
gwm382,6,184.0784
P31|M54-1,6,199.9781
RGA19(1),6,232.4602
bcd410c,6,234.3129
abc165b,6,249.0075
barc321,7,0
psr311b,7,4.7199
bcd15,7,7.7085
wPt-2866,7,16.0195
cdo460,7,23.2115
*stm523tgag,7,48.8579
wPt-1681,7,50.3075
wmc50,7,50.9879
bcd828,7,52.9243
*stm99tctg,7,54.0234
*stm503acag1,7,57.2889
wmc428,7,59.317
*stm20tctg,7,71.3883
wVp1,7,75.6846
bcd22,7,80.921
RGA61.2,7,99.9745
*stm597tcac,7,121.157
*stm558tgag,7,123.791
wPt-1888,7,137.9042
wPt-2813,7,142.6806
gwm389,8,0
gwm533,8,4.4233
*stm512tcac,8,8.0008
*stm538acag,8,12.3596
wm1-1A,8,25.6797
fbb185a,8,30.2378
*stm543tcac1,8,39.7861
wPt-8238,8,43.1244
cdo395,8,49.4073
gwm284,8,67.2183
Iha-B1.2,8,69.1423
ksuB8,8,69.9057
*stm537acag1,8,71.156
wPt-6047,8,75.3915
wPt-1625,8,77.7461
wPt-0544,8,79.0285
wPt-2377,8,80.4574
*stm516tcac,8,83.4461
bcd809,8,87.4546
ksuG59,8,90.8847
Pc-A12a,8,92.2183
cdo718,8,95.6018
wPt-8096,8,104.0136
wmc291,8,107.0477
gwm108,8,108.7725
wPt-6187,8,120.7618
*stm625tcac1,8,138.355
wPt-5704,8,150.7225
wPt-0021,8,162.4725
psr931,8,163.7386
wPt-8021,8,169.7194
wmc236a,8,174.613
wPt-8845,8,183.0248
wPt-4412,8,200.618
gwm247,8,204.4718
RGA14,8,208.4014
gwm183,9,0
*stm291agac,9,29.5943
*stm519acag,9,30.8603
gwm456,9,63.634
gwm341,9,66.4672
cfd70,9,69.8431
cfd152,9,97.3084
gwm3,9,120.3875
*stm625tcac2,9,124.5064
*stm2tcac,9,134.3074
gwm165,10,0
*stm1acag,10,25.4234
gwm192,10,28.0926
wmc48a,10,32.6856
germin,10,33.3479
vutPDI,10,34.0282
bcd1738,10,35.3443
wg464,10,35.9895
wg622,10,44.5221
wPt-8479,10,47.0884
psr1316,10,55.6035
cdo506,10,59.0813
wmc258,10,67.8018
wmc161a,10,69.8863
psr115,10,78.0667
wxB1a,10,112.5216
wmc262,10,114.5917
bcd135B,10,122.5318
wPt-5749,10,123.902
RGA9(3R),10,136.6727
RGA21(1),10,138.947
psp3119,10,141.6769
psr119b,10,147.7305
abg704b,10,152.5647
wPt-8657,10,155.1311
wPt-2151,10,157.8736
wPt-0150,10,159.3232
wPt-4680,10,160.6569
RGA13(2),11,0
wPt-1931,11,20.2733
cdo669b,11,39.0587
csME1,11,51.3829
wPt-1708,11,56.3996
*stm478tctg,11,61.2339
gwm495,11,62.7049
ksuC2,11,66.4154
gwm6,11,76.7804
wmc47,11,78.9715
wPt-0391,11,82.5923
wPt-3804,11,92.1177
P42|M49-4,12,0
wmc48b,12,6.9408
*stm470tctg,12,8.1605
gwm129,12,11.9176
almt11,12,24.3636
wPt-2768,13,0
*stm541acag,13,13.8578
abg397,13,48.3127
RGA71,13,52.9413
gwm304,13,54.2402
cdo57,13,71.3226
wg564a,13,75.2523
bcd508,13,87.8499
mwg514,13,129.0205
psr426,13,130.5477
P40|M54-4,13,141.9291
P38|M59-147,13,157.6443
gwm179,13,181.9001
gwm6a,13,187.29
B1-Tipped1,13,204.237
wmc149,14,0
wPt-8604,14,6.7066
wPt-0033,14,14.5628
gwm234,14,17.0649
wPt-3439,14,28.3645
*stm511acat1,14,50.5471
wPt-5688,14,51.9761
gwm67,14,55.5281
psr128,14,57.4646
wg564b,14,58.1269
*stm507acag,14,74.5464
